رقم الفترة,السنة,الشهر,اسم الفترة,من تاريخ,إلى تاريخ,عدد الفواتير,الاستهلاك كيلوواط,إجمالي المبيعات,عدد التسديدات,إجمالي التحصيل,التسويات,الفرق (مبيعات - تحصيل)
2018011,2018,1,يناير/2018م.ف1,2017-12-31,2018-01-15,0,0,0,0,0,0,0
2018021,2018,2,فبراير/2018م.ف1,2018-02-01,2018-02-14,0,0,0,0,0,0,0
2018031,2018,3,مارس/2018م.ف1,2018-03-02,2018-03-16,0,0,0,0,0,0,0
2018041,2018,4,ابريل/2018م.ف1,2018-04-01,2018-04-15,0,0,0,0,0,0,0
2018051,2018,5,مايو/2018م.ف1,2018-05-01,2018-05-11,0,0,0,0,0,0,0
2018052,2018,5,مايو/2018م,2018-05-01,2018-05-25,587,60045,10585560,0,0,0,10585560
2018061,2018,6,يونيو/2018م.ف1,2018-05-26,2018-06-09,592,67381,11981830,500,10615580,0,1366250
2018062,2018,6,يونيو/2018م.ف2,2018-06-10,2018-06-23,592,42451,7779725,432,9883489,0,-2103764
2018063,2018,6,يونيو/2018م.ف3,2018-06-24,2018-07-05,603,21574,4148960,300,5228910,0,-1079950
2018071,2018,7,يوليو/2018م.ف1,2018-07-05,2018-07-20,604,25791,4803705,345,4748171,406315,55534
2018072,2018,7,يوليو/2018م.ف2,2018-07-21,2018-08-01,614,35921,6640550,360,5522250,89775,1118300
2018081,2018,8,أغسطس/2018م.ف1,2018-08-02,2018-08-13,614,31079,6178965,373,6446105,442890,-267140
2018082,2018,8,أغسطس/2018م.ف2,2018-08-14,2018-08-28,619,38212,7945350,381,6532985,0,1412365
2018091,2018,9,سبتمبر/2018م.ف1,2018-08-29,2018-09-09,621,29283,7129895,344,7462355,145845,-332460
2018092,2018,9,سبتمبر/2018م.ف2,2018-09-10,2018-09-19,622,23653,6130608,337,7014235,51040,-883627
2018093,2018,9,سبتمبر/2018م.ف3,2018-09-20,2018-09-30,624,22471,5706359,339,6117998,37350,-411639
2018101,2018,10,أكتوبر/2018م.ف1,2018-10-01,2018-10-10,625,19380,5453845,348,5739184,121205,-285339
2018102,2018,10,أكتوبر/2018م.ف2,2018-10-11,2018-10-21,627,21368,6112670,359,5546805,101640,565865
2018103,2018,10,أكتوبر/2018م.ف3,2018-10-22,2018-11-04,630,18936,5434690,359,6332085,7080,-897395
2018111,2018,11,نوفمبر/2018م.ف1,2018-11-05,2018-11-18,630,14389,4030765,376,5474645,193365,-1443880
2018112,2018,11,نوفمبر/2018م.ف2,2018-11-19,2018-12-01,632,17885,5194850,376,4295795,74265,899055
2018121,2018,12,ديسمبر/2018م.ف1,2018-12-02,2018-12-15,634,15614,4186105,400,5357705,186870,-1171600
2018122,2018,12,ديسمبر/2018م.ف2,2018-12-16,2019-01-01,635,18455,4575020,385,4580225,42970,-5205
2019011,2019,1,يناير/2019م.ف1,2019-01-01,2019-01-15,638,15039,3727655,399,4833145,184545,-1105490
2019012,2019,1,يناير/2019م.ف2,2019-01-16,2019-01-31,638,17658,4182860,397,4089505,0,93355
2019021,2019,2,فبراير/2019م.ف1,2019-02-01,2019-02-14,638,16093,3822385,398,4528930,154510,-706545
2019022,2019,2,فبراير/2019م.ف2,2019-02-15,2019-03-02,649,20161,4788850,390,3927290,0,861560
2019031,2019,3,مارس/2019م.ف1,2019-03-03,2019-03-18,654,21708,5108135,455,5194205,148309,-86070
2019032,2019,3,مارس/2019م.ف2,2019-03-19,2019-03-31,665,22799,5400720,470,5390765,54836,9955
2019041,2019,4,ابريل/2019م.ف1,2019-04-01,2019-04-13,676,25827,6370505,483,5880714,14000,489791
2019042,2019,4,ابريل/2019م.ف2,2019-04-14,2019-04-24,683,23255,5652070,491,6077245,92400,-425175
2019043,2019,4,ابريل/2019م.ف3,2019-04-24,2019-05-04,690,22008,5124715,495,6228259,0,-1103544
2019051,2019,5,مايو/2019م.ف1,2019-05-04,2019-05-14,699,30231,7014190,487,5473401,21407,1540789
2019052,2019,5,مايو/2019م.ف2,2019-05-14,2019-05-22,705,28738,6669175,510,6890974,20470,-221799
2019053,2019,5,مايو/2019م.ف3,2019-05-22,2019-05-31,709,40853,9555995,515,6865731,55500,2690264
2019061,2019,6,يونيو/2019م.ف1,2019-06-01,2019-06-11,713,37092,8892110,513,9177740,168930,-285630
2019062,2019,6,يونيو/2019م.ف2,2019-06-11,2019-06-21,718,34134,8105050,495,8523883,23250,-418833
2019063,2019,6,يونيو/2019م.ف3,2019-06-21,2019-07-02,721,39986,9141025,534,8836167,97706,304858
2019071,2019,7,يوليو/2019م.ف1,2019-07-02,2019-07-12,725,31019,7037215,512,8414358,79103,-1377143
2019072,2019,7,يوليو/2019م.ف2,2019-07-12,2019-07-21,725,26094,5892720,511,7260330,63500,-1367610
2019073,2019,7,يوليو/2019م.ف3,2019-07-21,2019-07-30,731,31149,7102630,498,6424548,12640,678082
2019081,2019,8,أغسطس/2019م.ف1,2019-07-31,2019-08-06,734,20774,4757120,513,6951220,56180,-2194100
2019082,2019,8,أغسطس/2019م.ف2,2019-08-07,2019-08-19,735,20968,4702835,471,5015273,10530,-312438
2019083,2019,8,أغسطس/2019م.ف3,2019-08-20,2019-09-01,741,28470,6458815,477,4987282,2200,1471533
2019091,2019,9,سبتمبر/2019م.ف1,2019-09-01,2019-09-12,747,33476,7662175,510,6552715,29605,1109460
2019092,2019,9,سبتمبر/2019م.ف2,2019-09-12,2019-09-22,752,35177,8088575,484,7097504,0,991071
2019093,2019,9,سبتمبر/2019م.ف3,2019-09-22,2019-10-03,759,32368,7387425,542,8205660,122560,-818235
2019101,2019,10,أكتوبر/2019م.ف1,2019-10-03,2019-10-15,763,26905,7624345,535,7561821,65810,62524
2019102,2019,10,أكتوبر/2019م.ف2,2019-10-16,2019-10-25,769,26799,7542510,564,7599158,194020,-56648
2019111,2019,11,نوفمبر/2019م.ف1,2019-10-26,2019-11-11,771,27872,6177075,585,7966975,63780,-1789900
2019112,2019,11,نوفمبر/2019م.ف2,2019-11-12,2019-11-29,776,27488,6071400,602,6483402,35940,-412002
2019121,2019,12,ديسمبر/2019م.ف1,2019-11-30,2019-12-15,779,30080,6656435,593,6461551,13780,194884
2019122,2019,12,ديسمبر/2019م.ف2,2019-12-16,2019-12-31,785,22933,5037615,626,6723460,39620,-1685845
2020011,2020,1,يناير/2020م.ف1,2020-01-01,2020-01-15,787,22858,5033505,583,5727074,44500,-693569
2020012,2020,1,يناير/2020م.ف2,2020-01-16,2020-01-31,789,20982,4615550,562,5087215,2700,-471665
2020021,2020,2,فبراير/2020م.ف1,2020-02-01,2020-02-16,798,22208,4858520,566,5027200,12390,-168680
2020022,2020,2,فبراير/2020م.ف2,2020-02-17,2020-03-02,804,22899,4967655,564,4963468,2580,4187
2020031,2020,3,مارس/2020م.ف1,2020-03-03,2020-03-16,808,25949,5629825,573,5487064,37230,142761
2020032,2020,3,مارس/2020م.ف2,2020-03-17,2020-04-01,812,33741,7369215,577,5729875,18730,1639340
2020041,2020,4,ابريل/2020م.ف1,2020-04-01,2020-04-11,818,25148,5485940,599,7455765,12740,-1969825
2020042,2020,4,ابريل/2020م.ف2,2020-04-12,2020-04-24,832,36163,6766410,565,5872232,53200,894178
2020043,2020,4,ابريل/2020م.ف3,2020-04-25,2020-05-06,834,30916,5684170,582,6624125,9130,-939955
2020051,2020,5,مايو/2020م.ف1,2020-05-06,2020-05-18,838,39242,7367295,576,6047285,28920,1320010
2020052,2020,5,مايو/2020م.ف2,2020-05-18,2020-06-01,844,47711,9036460,570,7059900,83170,1976560
2020061,2020,6,يونيو/2020م.ف1,2020-06-01,2020-06-16,850,39884,7429940,624,9173000,35260,-1743060
2020062,2020,6,يونيو/2020م.ف2,2020-06-16,2020-06-30,856,47625,8962945,650,8635402,23250,327543
2020071,2020,7,يوليو/2020م.ف1,2020-07-01,2020-07-16,864,51553,9988345,661,9285610,22435,702735
2020072,2020,7,يوليو/2020م.ف2,2020-07-17,2020-07-26,864,25282,5293510,617,9559665,19515,-4266155
2020081,2020,8,أغسطس/2020م.ف1,2020-07-27,2020-08-15,871,31794,6506870,583,5851121,4550,655749
2020082,2020,8,أغسطس/2020م.ف2,2020-08-16,2020-08-31,875,30311,6489530,632,6547482,35670,-57952
2020091,2020,9,سبتمبر/2020م.ف1,2020-09-01,2020-09-15,879,29311,6731295,625,6859013,145960,-127718
2020092,2020,9,سبتمبر/2020م.ف2,2020-09-16,2020-09-30,897,38451,8947770,640,6865030,43460,2082740
2020101,2020,10,أكتوبر/2020م.ف1,2020-10-01,2020-10-15,910,49267,11951660,658,9531377,15730,2420283
2020102,2020,10,أكتوبر/2020م.ف2,2020-10-16,2020-10-31,916,35536,7840505,665,11193413,131157,-3352908
2020111,2020,11,نوفمبر/2020م.ف1,2020-11-01,2020-11-15,925,17763,3671275,662,8515385,32260,-4844110
