=== تحليل UTF-16 من ECAS.exe ===


== السلاسل حول zuakha (0x2d1dec) ±5000 بايت ==
[0x2d0ac8] "Us_PassWordHint"
[0x2d0b1c] " Comd_Click"
[0x2d0b68] "PT Bold Heading"
[0x2d0ba8] "gfDtfAPI"
[0x2d0bc0] "                                           "
[0x2d0c88] " ComData_Change"
[0x2d0cac] " ComData_Click"
[0x2d0cd0] "00000409"
[0x2d0f1c] "\0TestSync\DataBase.mdb"
[0x2d0f50] ".YidZip"
[0x2d0ff8] "\0TestSync"
[0x2d1014] "ECAS_AmC_AOS DailayDB BackUp  -  26-03-2021  -  11.03 PM.dbf"
[0x2d10d4] "gfCtfAPI"
[0x2d10ec] "Compress File Complete"
[0x2d1140] "Decompress File Complete"
[0x2d1178] "\0TestSync\dddd.dbf"
[0x2d11a4] "Litmam4DeCmprsFile"
[0x2d11d0] "\0TestSync\DB1_OutPut.dbf"
[0x2d1228] "YemenIDwlkp.WlkpCls"
[0x2d1254] " Form_Load"
[0x2d1270] "SELECT UserData.* FROM UserData WHERE (((UserData.RU_ID)="
[0x2d1310] "nullandnotempty"
[0x2d1334] "SELECT UserData.* FROM UserData WHERE (((UserData.RW_ID)="
[0x2d13ac] "SELECT UserData.* FROM UserData WHERE (((UserData.Us_ID)<=0));"
[0x2d1430] "SELECT UserData.* FROM UserData WHERE (((UserData.Us_Name)='"
[0x2d14b0] "'));"
[0x2d14f8] "SELECT UserData.* FROM UserData WHERE (((UserData.Us_PassWord)='"
[0x2d15a0] "SELECT UserData.* FROM UserData"
[0x2d15e4] " WHERE ( (((Us_ID<>0 And Us_ID<10000))) "
[0x2d1644] "     AND ((UserData.RU_ID) Not In ( "
[0x2d16d0] " AND ((UserData.Us_ID) IN (SELECT DISTINCT UserWorkBoundary.Us_ID FROM UserWorkBoundary"
[0x2d1784] " WHERE (((UserWorkBoundary.Ar_ID) > 0) AND ((UserWorkBoundary.Brn_ID) > 0) AND ((UserWorkBoundary.Sgl_ID) > 0))"
[0x2d1868] "  ))) ORDER BY UserData.Us_ID;"
[0x2d1b64] " InitializeData"
[0x2d1b88] "SELECT * FROM UserData WHERE Us_ID = "
[0x2d1be0] "gfDtsAPI"
[0x2d1c40] "      "
[0x2d1d8c] " ..."
[0x2d1dd0] " CheckData"
[0x2d1dec] "zuakha033"
[0x2d1e04] "##0.00"
[0x2d24a8] "SELECT FormData.* FROM FormData"
[0x2d2500] " WHERE (((FormData.Frm_ID) IN ("
[0x2d2544] " SELECT DISTINCT UserPrivileg.Frm_ID FROM UserPrivileg"
[0x2d25b8] " WHERE (((UserPrivileg.RU_ID) = "
[0x2d2600] " )) "
[0x2d2610] " )) AND ((FormData.Frm_RankID) = "
[0x2d2658] " )) ORDER BY FormData.Frm_MnuName;"
[0x2d26a4] " SetPrivileg"
