COLUMNS: Frm_RankID | Frm_ID | Frm_Name | Frm_MnuName | Frm_MnuIndex

0 | -4209 | تعديل وحذف بيانات تسويات إلغاء و ضم تسديد الجوال | UpdateTaswiatMenu | 9
0 | -4109 | إضافة بيانات تسويات إلغاء و ضم تسديد الجوال | AddTaswiatMenu | 9
1 | 1001 | تهيئة و إعداد بيانات الفاز | NumbersAndSymbolsMenu | 2
1 | 1002 | تهيئة و إعداد بيانات رسوم الإشتراك | SliceAndRsomMenu | 2
1 | 1004 | تهيئة و إعداد بيانات خيارات ومتغيرات النظام | SystemInitial | 0
1 | 1006 | تهيئة و إعداد بيانات مجموعات الحسابات القاعدية للدليل المحاسبي | AccountMenu | 6
1 | 1007 | تهيئة و إعداد بيانات أرقام الحسابات المالية الفرعية | AccountMenu | 7
1 | 1008 | تهيئة و إعداد بيانات المشروع | ArBrnSglMenu | 0
1 | 1009 | تفويض و حجب صلاحيات حقوق الوصول | PrivilegMenu | 0
1 | 1010 | تفويض و حجب صلاحيات تنفيذ العمليات | PrivilegMenu | 2
1 | 1011 | تهيئة و إعداد بيانات تصنيفات وترميزات المشتركين | NumbersAndSymbolsMenu | 0
1 | 1012 | تقييد صلاحيات المستخدمين - منع الوصول لبعض الأرقام | PrivilegMenu | 4
1 | 1501 | تقارير بيانات أحداث و عمليات المستخدمين | UserEventReportMenu | 0
1 | 2001 | تهيئة و إعداد بيانات سنوات العمل | DateMenu | 0
1 | 2002 | تهيئة و إعداد بيانات معامل الضرب | NumbersAndSymbolsMenu | 4
1 | 2003 | تهيئة و إعداد بيانات رموز التعديل | NumbersAndSymbolsMenu | 6
1 | 2004 | تهيئة و إعداد بيانات رموز التعرفة و شرائح الإستهلاك | SliceAndRsomMenu | 0
1 | 2005 | تهيئة و إعداد بيانات الفروع | ArBrnSglMenu | 2
1 | 2006 | تهيئة و إعداد بيانات سـجـلات / حــروف القـراءة | ArBrnSglMenu | 4
1 | 2008 | تهيئة و إعداد بيانات الكشاف | ArBrnSglMenu | 6
1 | 2009 | تهيئة و إعداد بيانات المربعات | ArBrnSglMenu | 7
1 | 3001 | تهيئة و إعداد بيانات شهور العمل | DateMenu | 2
1 | 3002 | معالجة بيانات المستخدمين | UserMenu | 0
1 | 3003 | تعيين حدود عمل المستخدمين | UserMenu | 2
1 | 3004 | DBM - إنشاء نُسخ إحتياطية داخلية لقاعدة البيانات | IntBackUpMenu | 0
1 | 3005 | DBM - إسترجاع نُسخ إحتياطية داخلية لقاعدة البيانات | IntBackUpMenu | 2
1 | 3006 | DBM - إنشاء نُسخ إحتياطية خارجية لقاعدة البيانات | ExtIntBackUpMenu | 0
1 | 3007 | DBM - إسترجاع نُسخ إحتياطية خارجية لقاعدة البيانات | ExtIntBackUpMenu | 2
1 | 3008 | DBM - تنظيم و ضغط قاعدة البيانات الحاليه | CompactDBMenu | 0
1 | 3009 | DBM - إدارة ملفات الـنُـسخ الإحتياطية الــســابقة الخاصة بـقاعدة بيانات النظام | CompactDBMenu | 2
1 | 3011 | مزامنة - إستيراد جميــــع بيانات المشروع | SyncMenu | 0
1 | 3012 | مزامنة - إستيــــراد بيانات فـــروع محدد | SyncMenu | 2
1 | 3013 | مزامنة - تـــصديـــر قواعد بيانات الفروع | SyncMenu | 4
1 | 4101 | إضافة بيانات تسويات التراكم | AddTaswiatMenu | 0
1 | 4102 | إضافة بيانات تسويات خطأ القراءة | AddTaswiatMenu | 2
1 | 4103 | إضافة بيانات تسويات خطأ نوع النشاط | AddTaswiatMenu | 4
1 | 4104 | إضافة بيانات تسويات رسوم الإشتراك | AddTaswiatMenu | 6
1 | 4105 | إضافة بيانات تسويات عكس التسديد المحلي | AddTaswiatMenu | 8
1 | 4106 | إضافة بيانات إستمارات تعديل البيانات حسب الرمز | AddTaswiatMenu | 11
1 | 4107 | إضافة بيانات تسويات ضـم مبلغ مالي | AddTaswiatMenu | 13
1 | 4108 | إضافة بيانات تسويات (الخصم) عكس قيد مالي | AddTaswiatMenu | 15
1 | 4110 | إضافة بيانات تسويات الضــــــــم الجماعــــــي | # | -1
1 | 4111 | إضافة بيانات تسويات الخصـــــم الجماعــــــي | # | -1
1 | 4201 | تعديـل وحذف بيانات تسويات التراكم | UpdateTaswiatMenu | 0
1 | 4202 | تعديـل وحذف بيانات تسويات خطأ القراءة | UpdateTaswiatMenu | 2
1 | 4203 | تعديـل وحذف بيانات تسويات خطأ نوع النشاط | UpdateTaswiatMenu | 4
1 | 4204 | تعديل وحذف بيانات تسويات رسوم الإشتراك | UpdateTaswiatMenu | 6
1 | 4205 | تعديل وحذف بيانات تسويات عكس التسديد المحلي | UpdateTaswiatMenu | 8
1 | 4206 | تعديـل وحذف بيانات إستمارات تعديل البيانات حسب الرمز | UpdateTaswiatMenu | 11
1 | 4207 | تعديل وحذف بيانات تسويات ضـم مبلغ مالي | UpdateTaswiatMenu | 13
1 | 4208 | تعديل وحذف بيانات تسويات (الخصم) عكس قيد مالي | UpdateTaswiatMenu | 15
1 | 4502 | تقارير بيانات التسويات | TswReportMenu | 2
1 | 4503 | تقارير إحصائية لبيانات التسويات | TswReportMenu | 4
1 | 5501 | تقارير بيانات الخلاصات | SmryReportMenu | 0
1 | 5503 | تقارير إختيارية لبيانات الخلاصات | SmryReportMenu | 4
1 | 6001 | تهيئة و إعداد بيانات فئات حالات البلاغات | StateMenu | 0
1 | 6002 | تهيئة و إعداد بيانات حالات البلاغات | StateMenu | 2
1 | 6003 | تهيئة و إعداد بيانات مواصفات حالات البلاغات | StateMenu | 4
1 | 6101 | إضافة بيانات حالات و مشاكل المشتركين الشهريه | AddCstMonthProblemsMenu | 0
1 | 6201 | تعديـل وحذف بيانات حالات و مشاكل المشتركين الشهريه | AddCstMonthProblemsMenu | 2
1 | 6501 | تقارير بيانات المشتركين الأساسيه | CstMonthProblemsReportMenu | 0
1 | 6502 | تقارير بيانات حالات و مشاكل المشتركين الشهريه | CstMonthProblemsReportMenu | 2
1 | 6503 | تقارير إحصائية و تحليلية لبيانات حالات و مشاكل المشتركين الشهريه | CstMonthProblemsReportMenu | 4
1 | 6504 | تقارير العدادات الـمُــبدله | CstMonthProblemsReportMenu | 6
1 | 6505 | تقارير التعديلات في بيانات المشتركين الأساسيه | CstMonthProblemsReportMenu | 8
1 | 6506 | تقارير طـلـبـات التعديـــل في بيانات المشتركين المرفوعــه عبر الجوال | CstMonthProblemsReportMenu | 10
1 | 7101 | معاجة بيانات القراءات الشهرية | AddBillAndReadMenu | 0
1 | 7102 | إضافة بيانات قراءات المشتركين - جماعي | AddBillAndReadMenu | 1
1 | 7103 | إستيراد وحفظ بيانات القراءات المـًـدخله عن بعد - الجوال | AddBillAndReadMenu | 2
1 | 7104 | حذف أو تصحيـــح بيانات القراءات المـًـدخله عن بعد التي لم يتم إعتمادها - الجوال | AddBillAndReadMenu | 4
0 | 7106 | إضافة قراءة مشترك عن طريق الجوال | # | -1
0 | 7107 | إضافة قراءة مشترك عن طريق المحفظات الإلكترونية | # | -1
1 | 7201 | معاجة بيانات التسديدات الشهرية | AddBillAndReadMenu | 6
1 | 7202 | إضافة بيانات تسديدات المشتركين - جماعي | AddBillAndReadMenu | 7
1 | 7203 | معاجة بيانات التسديدات - شاشة مجموعات الإدخال | AddBillAndReadMenu | 8
1 | 7204 | إستيراد وحفظ بيانات التسديدات المـًـدخله عن بعد - الجوال | AddBillAndReadMenu | 9
1 | 7205 | معالجة بيانات عكـــ(إلغاء و ضم)ـــس تسديد الجوال الـمُـدخل بالخطاء | AddBillAndReadMenu | 11
0 | 7206 | إضافة عملية تسديد عن طريق الجوال | # | -1
0 | 7207 | إضافة عملية تسديد عن طريق المحفظات الإلكترونية | # | -1
1 | 7301 | معالجة بيانات أسناد الصرف النقدي | SpendingDbnMenu | 0
1 | 7302 | معالجة بيانات عمليات صرف المرتبات | SpendingDbnMenu | 2
1 | 7303 | معالجة بيانات عمليات صرف فوائد المالكين | SpendingDbnMenu | 3
1 | 7304 | معالجة بيانات عمليات صرف الحـــــوالات المالية النقدية | SpendingDbnMenu | 1
1 | 7305 | معالجة بيانات أسناد القبض (التوريد) النقدي | ReceiptDbnMenu | 0
1 | 7306 | معالجة بيانات عمليات قبض (توريد) صناديق تحصيل الفواتير | ReceiptDbnMenu | 2
1 | 7307 | معالجة بيانات عمليات قبض (توريد) الحـــــوالات المالية النقدية | ReceiptDbnMenu | 1
1 | 7310 | قيود الأرصدة الإفتتاحية | AccOpeningBalMenu | 0
1 | 7311 | معالجة بيانات القيود المالية اليومية | FnclConstMenu | 0
1 | 7312 | التــرحيل الجماعي للسندات والقيود والعمليات المالية | FnclCommitMenu | 0
1 | 7313 | قيود الإقفال السنوي لكافة حسابات المصروفات | FnclClosingYearMenu | 0
1 | 7314 | قيود الإقفال السنوي لكافة حسابات الإيرادات | FnclClosingYearMenu | 2
1 | 7315 | قيود الإقفال السنوي لحساب الأرباح و الخسائر في حساب رأس المال | FnclClosingYearMenu | 4
1 | 7316 | معالجة بيانات قيود التسويات المالية | FnclTswConstMenu | 0
1 | 7401 | تهيئة و إعداد بيانات المخازن | InvStrgBasicDataMenu | 0
1 | 7402 | تهيئة و إعداد بيانات وحــدات القياس | InvStrgBasicDataMenu | 2
1 | 7403 | تهيئة و إعداد بيانات المجموعات الرئيسية للأصناف | InvStrgBasicDataMenu | 4
