MenuKey|ScreenCount
-------|-----------
#|12
AccOpeningBalMenu|1
AccountMenu|10
AddBillAndReadMenu|9
AddCstMonthProblemsMenu|2
AddTaswiatMenu|8
ArBrnSglMenu|5
BillReadAndCunsumeReportMenu|9
CashierAndManualDbnsMenu|3
CheckListAndTrialBalanceReport|4
CompactDBMenu|2
CstMonthProblemsReportMenu|6
CurrencyDataMenu|1
CustomerMenu|4
DateMenu|2
ExtIntBackUpMenu|2
FnclAnalysisReport|3
FnclBallancesReport|2
FnclBasicDataReport|4
FnclClosingYearMenu|3
FnclCommitMenu|1
FnclConstMenu|1
FnclDbnDataReport|3
FnclSumReport|2
FnclTswConstMenu|1
IntBackUpMenu|2
InvReportMenu|7
InvStrgBasicDataMenu|4
InvStrgDbnMenu|9
InvStrgOpeningBalMenu|1
MonthBillProcesses|4
NumbersAndSymbolsMenu|4
OtherSystemReprt|1
PrivilegMenu|3
ReceiptDbnMenu|3
SliceAndRsomMenu|2
SmryReportMenu|2
SpendingDbnMenu|4
StateMenu|3
StationsFeedersMenue|3
SyncMenu|3
SystemInitial|1
TswReportMenu|2
UpdateTaswiatMenu|8
UserEventReportMenu|1
UserMenu|2
