COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH
-----------|---------|------------------------
Frm_RankID|tinyint|NULL
Frm_ID|smallint|NULL
Frm_Name|varchar|120
Frm_MnuName|varchar|100
Frm_MnuIndex|int|NULL
Frm_ID|Frm_Name|Frm_MnuName|Frm_RankID
------|--------|-----------|----------
4110|إضافة بيانات تسويات الضــــــــم الجماعــــــي|#|1
4111|إضافة بيانات تسويات الخصـــــم الجماعــــــي|#|1
7106|إضافة قراءة مشترك عن طريق الجوال|#|0
7107|إضافة قراءة مشترك عن طريق المحفظات الإلكترونية|#|0
7206|إضافة عملية تسديد عن طريق الجوال|#|0
7207|إضافة عملية تسديد عن طريق المحفظات الإلكترونية|#|0
9014|تعديـل بيانات المشتركين جماعي|#|1
9015|حذف أو إعتمـــاد طـلـبـات التعديـــل في بيانات المشتركين المرفوعــه عبر الجوال|#|1
9901|تسجيل الدخول|#|0
9902|تسجيل الخروج|#|0
9903|تغيير كلمة المرور الخاصة بالمستخدم الحالي|#|0
9904|شاشة إرسال الرسائل القصيرة|#|0
7310|قيود الأرصدة الإفتتاحية|AccOpeningBalMenu|1
1006|تهيئة و إعداد بيانات مجموعات الحسابات القاعدية للدليل المحاسبي|AccountMenu|1
1007|تهيئة و إعداد بيانات أرقام الحسابات المالية الفرعية|AccountMenu|1
10808|تهيئة و إعداد بيانات المجموعات الرئيسية لمراكز التكلفة|AccountMenu|1
10809|تهيئة و إعداد بيانات مراكز التكلفة|AccountMenu|1
10810|تهيئة و إعداد بيانات الصناديق الرئيسية - وربطها بالدليل المحاسبي|AccountMenu|1
10811|تهيئة و إعداد بيانات البنوك - وربطها بالدليل المحاسبي|AccountMenu|1
10812|تهيئة و إعداد بيانات العملاء - وربطها بالدليل المحاسبي|AccountMenu|1
10813|تهيئة و إعداد بيانات المالكين/المساهمين - وربطها بالدليل المحاسبي|AccountMenu|1
10814|تهيئة و إعداد بيانات الموردين - وربطها بالدليل المحاسبي|AccountMenu|1
10815|تهيئة و إعداد بيانات العمال والموظفين - وربطها بالدليل المحاسبي|AccountMenu|1
7101|معاجة بيانات القراءات الشهرية|AddBillAndReadMenu|1
7102|إضافة بيانات قراءات المشتركين - جماعي|AddBillAndReadMenu|1
7103|إستيراد وحفظ بيانات القراءات المـًـدخله عن بعد - الجوال|AddBillAndReadMenu|1
7104|حذف أو تصحيـــح بيانات القراءات المـًـدخله عن بعد التي لم يتم إعتمادها - الجوال|AddBillAndReadMenu|1
7201|معاجة بيانات التسديدات الشهرية|AddBillAndReadMenu|1
7202|إضافة بيانات تسديدات المشتركين - جماعي|AddBillAndReadMenu|1
7203|معاجة بيانات التسديدات - شاشة مجموعات الإدخال|AddBillAndReadMenu|1
7204|إستيراد وحفظ بيانات التسديدات المـًـدخله عن بعد - الجوال|AddBillAndReadMenu|1
7205|معالجة بيانات عكـــ(إلغاء و ضم)ـــس تسديد الجوال الـمُـدخل بالخطاء|AddBillAndReadMenu|1
6101|إضافة بيانات حالات و مشاكل المشتركين الشهريه|AddCstMonthProblemsMenu|1
6201|تعديـل وحذف بيانات حالات و مشاكل المشتركين الشهريه|AddCstMonthProblemsMenu|1
4101|إضافة بيانات تسويات التراكم|AddTaswiatMenu|1
4102|إضافة بيانات تسويات خطأ القراءة|AddTaswiatMenu|1
4103|إضافة بيانات تسويات خطأ نوع النشاط|AddTaswiatMenu|1
4104|إضافة بيانات تسويات رسوم الإشتراك|AddTaswiatMenu|1
4105|إضافة بيانات تسويات عكس التسديد المحلي|AddTaswiatMenu|1
4106|إضافة بيانات إستمارات تعديل البيانات حسب الرمز|AddTaswiatMenu|1
4107|إضافة بيانات تسويات ضـم مبلغ مالي|AddTaswiatMenu|1
4108|إضافة بيانات تسويات (الخصم) عكس قيد مالي|AddTaswiatMenu|1
1008|تهيئة و إعداد بيانات المشروع|ArBrnSglMenu|1
2005|تهيئة و إعداد بيانات الفروع|ArBrnSglMenu|1
2006|تهيئة و إعداد بيانات سـجـلات / حــروف القـراءة|ArBrnSglMenu|1
2008|تهيئة و إعداد بيانات الكشاف|ArBrnSglMenu|1
2009|تهيئة و إعداد بيانات المربعات|ArBrnSglMenu|1
7501|تقارير القراءات - قراءات وإستهلاك المشتركين الشهريه/المرحليه|BillReadAndCunsumeReportMenu|1
7502|تقارير القراءات - إحصائية إستهلاك المشتركين السنوية|BillReadAndCunsumeReportMenu|1
7521|تقارير التسديد - التسديدات الشهرية وكشوفات الفصل|BillReadAndCunsumeReportMenu|1
7522|تقارير التسديد - تفصيل وتحليل تسديد ومتأخرات المشتركين السنوية|BillReadAndCunsumeReportMenu|1
7531|تقارير الفوترة - طباعة الفواتير|BillReadAndCunsumeReportMenu|1
7532|تقارير الفوترة - كشوفات القراءة|BillReadAndCunsumeReportMenu|1
7533|تقارير الفوترة - كشوفات التحصيل|BillReadAndCunsumeReportMenu|1
7534|تقارير الفوترة - تقارير تفصيلية بحساب المشترك|BillReadAndCunsumeReportMenu|1
7535|تقارير الفوترة - تقارير تحليـلية بحساب المشترك|BillReadAndCunsumeReportMenu|1
10301|معالجة بيانات المتحصلين|CashierAndManualDbnsMenu|1
10302|معالجة بيانات دفاتر سندات التحصيل اليدوية|CashierAndManualDbnsMenu|1
10303|معالجة السندات المغقوده أو التالفه|CashierAndManualDbnsMenu|1
17750|تقارير مالية - موازيـن - ميزان المراجعة بالأرصدة|CheckListAndTrialBalanceReport|1
17751|تقارير مالية - موازيـن - ميزان المراجعة بالمجاميع|CheckListAndTrialBalanceReport|1
17752|تقارير مالية - موازيـن - الميزانية العمومية|CheckListAndTrialBalanceReport|1
17753|تقارير مالية - موازيـن - ميزان الأرباح والخسائر|CheckListAndTrialBalanceReport|1
3008|DBM - تنظيم و ضغط قاعدة البيانات الحاليه|CompactDBMenu|1
3009|DBM - إدارة ملفات الـنُـسخ الإحتياطية الــســابقة الخاصة بـقاعدة بيانات النظام|CompactDBMenu|1
6501|تقارير بيانات المشتركين الأساسيه|CstMonthProblemsReportMenu|1
6502|تقارير بيانات حالات و مشاكل المشتركين الشهريه|CstMonthProblemsReportMenu|1
6503|تقارير إحصائية و تحليلية لبيانات حالات و مشاكل المشتركين الشهريه|CstMonthProblemsReportMenu|1
6504|تقارير العدادات الـمُــبدله|CstMonthProblemsReportMenu|1
6505|تقارير التعديلات في بيانات المشتركين الأساسيه|CstMonthProblemsReportMenu|1
6506|تقارير طـلـبـات التعديـــل في بيانات المشتركين المرفوعــه عبر الجوال|CstMonthProblemsReportMenu|1
10201|معالجة بيانات العملات وعملة النظام الرئيسية|CurrencyDataMenu|1
9010|معالجة بيانات المشتركين|CustomerMenu|1
9011|إضافة بيانات مشترك جديد|CustomerMenu|1
9012|تعديـل بيانات المشتركين|CustomerMenu|1
9013|تبديــل وتغيير بيانات عدادات المشتركين|CustomerMenu|1
2001|تهيئة و إعداد بيانات سنوات العمل|DateMenu|1
3001|تهيئة و إعداد بيانات شهور العمل|DateMenu|1
3006|DBM - إنشاء نُسخ إحتياطية خارجية لقاعدة البيانات|ExtIntBackUpMenu|1
3007|DBM - إسترجاع نُسخ إحتياطية خارجية لقاعدة البيانات|ExtIntBackUpMenu|1
17720|تقارير مالية - تحليلية - تقرير اليومية العامه|FnclAnalysisReport|1
17721|تقارير مالية - تحليلية - تقرير الإستاذ العام|FnclAnalysisReport|1
17722|تقارير مالية - تحليلية - تقارير تحليلية بحركة الحسابات المالية|FnclAnalysisReport|1
17740|تقارير مالية - أرصـدة - الإرصدة الإفتتاحية للحسابات المالية|FnclBallancesReport|1
17741|تقارير مالية - أرصـدة - الإرصدة الحـــالية للحسابات المالية|FnclBallancesReport|1
17701|تقارير مالية - بيانات أساسية - بيانات الدليل المحاسبي|FnclBasicDataReport|1
17702|تقارير مالية - بيانات أساسية - بيانات الجهات والأشخاص|FnclBasicDataReport|1
17703|تقارير مالية - بيانات أساسية - المجموعات الرئيسية لمراكز التكلفة|FnclBasicDataReport|1
17704|تقارير مالية - بيانات أساسية - بيانات مراكز التكلفة|FnclBasicDataReport|1
7313|قيود الإقفال السنوي لكافة حسابات المصروفات|FnclClosingYearMenu|1
7314|قيود الإقفال السنوي لكافة حسابات الإيرادات|FnclClosingYearMenu|1
7315|قيود الإقفال السنوي لحساب الأرباح و الخسائر في حساب رأس المال|FnclClosingYearMenu|1
7312|التــرحيل الجماعي للسندات والقيود والعمليات المالية|FnclCommitMenu|1
7311|معالجة بيانات القيود المالية اليومية|FnclConstMenu|1
17710|تقارير مالية - سندات وقيود - سندات وعمليات الصرف|FnclDbnDataReport|1
17711|تقارير مالية - سندات وقيود - سندات وعمليات التوريد|FnclDbnDataReport|1
17712|تقارير مالية - سندات وقيود - القيود المالية اليومية|FnclDbnDataReport|1
17730|تقارير مالية - إجماليـة - إجمالي العمليات المالية - حسب نوع المستند|FnclSumReport|1
17731|تقارير مالية - إجماليـة - إجمالي العمليات المالية - حسب فئة المستندات|FnclSumReport|1
7316|معالجة بيانات قيود التسويات المالية|FnclTswConstMenu|1
3004|DBM - إنشاء نُسخ إحتياطية داخلية لقاعدة البيانات|IntBackUpMenu|1
3005|DBM - إسترجاع نُسخ إحتياطية داخلية لقاعدة البيانات|IntBackUpMenu|1
18101|تقارير مخزنية - تقارير البيانات الأساسية|InvReportMenu|1
18110|تقارير مخزنية - تقارير السندات والعمليات المخزنية|InvReportMenu|1
18120|تقارير مخزنية - تقارير تفصيلية|InvReportMenu|1
18130|تقارير مخزنية - تقارير تحليلية|InvReportMenu|1
18140|تقارير مخزنية - تقارير إجمالية وإحصائية|InvReportMenu|1
18150|تقارير مخزنية - تقارير الأرصدة + نماذج الإدخال + قوائم الجرد|InvReportMenu|1
18160|تقارير مخزنية - تقارير أخرى|InvReportMenu|1
7401|تهيئة و إعداد بيانات المخازن|InvStrgBasicDataMenu|1
7402|تهيئة و إعداد بيانات وحــدات القياس|InvStrgBasicDataMenu|1
7403|تهيئة و إعداد بيانات المجموعات الرئيسية للأصناف|InvStrgBasicDataMenu|1
7404|تهيئة و إعداد بيانات الأصناف المخزنية|InvStrgBasicDataMenu|1
7406|معالجة بيانات فواتير المشتروات|InvStrgDbnMenu|1
7407|معالجة بيانات فواتير مردود المشتروات|InvStrgDbnMenu|1
7408|معالجة بيانات فواتير المبيعات|InvStrgDbnMenu|1
7409|معالجة بيانات فواتير مردود المبيعات|InvStrgDbnMenu|1
7410|معالجة بيانات سندات التوريد المخزني|InvStrgDbnMenu|1
7411|معالجة بيانات سندات الصرف المخزني|InvStrgDbnMenu|1
7412|معالجة بيانات آوامر التحويـــل المخزني|InvStrgDbnMenu|1
7413|معالجة بيانات آوامر تسوية التسعيرة|InvStrgDbnMenu|1
7414|معالجة بيانات محاضر الجرد المخزني|InvStrgDbnMenu|1
7405|معالجة بيانات الأرصدة الإفتتاحية للأصناف المخزنية|InvStrgOpeningBalMenu|1
30091|تعديــل و ترحيــل بيانات سـجـلات / حــروف القـراءة|MonthBillProcesses|1
30092|تعديــل و ترحيــل قراءات الفيــادر / جـهـات التوصيل|MonthBillProcesses|1
30093|تعديــل و ترحيــل قراءات نقاط رصد ومراقبة الإستهلاك والفاقد|MonthBillProcesses|1
30094|الإحتساب والإقفال الشهري|MonthBillProcesses|1
1001|تهيئة و إعداد بيانات الفاز|NumbersAndSymbolsMenu|1
1011|تهيئة و إعداد بيانات تصنيفات وترميزات المشتركين|NumbersAndSymbolsMenu|1
2002|تهيئة و إعداد بيانات معامل الضرب|NumbersAndSymbolsMenu|1
2003|تهيئة و إعداد بيانات رموز التعديل|NumbersAndSymbolsMenu|1
7601|التقاريـــر الأخــــرى|OtherSystemReprt|1
1009|تفويض و حجب صلاحيات حقوق الوصول|PrivilegMenu|1
1010|تفويض و حجب صلاحيات تنفيذ العمليات|PrivilegMenu|1
1012|تقييد صلاحيات المستخدمين - منع الوصول لبعض الأرقام|PrivilegMenu|1
7305|معالجة بيانات أسناد القبض (التوريد) النقدي|ReceiptDbnMenu|1
7306|معالجة بيانات عمليات قبض (توريد) صناديق تحصيل الفواتير|ReceiptDbnMenu|1
7307|معالجة بيانات عمليات قبض (توريد) الحـــــوالات المالية النقدية|ReceiptDbnMenu|1
1002|تهيئة و إعداد بيانات رسوم الإشتراك|SliceAndRsomMenu|1
2004|تهيئة و إعداد بيانات رموز التعرفة و شرائح الإستهلاك|SliceAndRsomMenu|1
5501|تقارير بيانات الخلاصات|SmryReportMenu|1
5503|تقارير إختيارية لبيانات الخلاصات|SmryReportMenu|1
7301|معالجة بيانات أسناد الصرف النقدي|SpendingDbnMenu|1
7302|معالجة بيانات عمليات صرف المرتبات|SpendingDbnMenu|1
7303|معالجة بيانات عمليات صرف فوائد المالكين|SpendingDbnMenu|1
7304|معالجة بيانات عمليات صرف الحـــــوالات المالية النقدية|SpendingDbnMenu|1
6001|تهيئة و إعداد بيانات فئات حالات البلاغات|StateMenu|1
6002|تهيئة و إعداد بيانات حالات البلاغات|StateMenu|1
6003|تهيئة و إعداد بيانات مواصفات حالات البلاغات|StateMenu|1
30081|تهيئة و إعداد بيانات المحطات / المحولات|StationsFeedersMenue|1
30082|تهيئة و إعداد بيانات الفيــادر / جـهـات التوصيل|StationsFeedersMenue|1
30083|تهيئة و إعداد بيانات نقاط رصد ومراقبة الإستهلاك والفاقد|StationsFeedersMenue|1
3011|مزامنة - إستيراد جميــــع بيانات المشروع|SyncMenu|1
3012|مزامنة - إستيــــراد بيانات فـــروع محدد|SyncMenu|1
3013|مزامنة - تـــصديـــر قواعد بيانات الفروع|SyncMenu|1
1004|تهيئة و إعداد بيانات خيارات ومتغيرات النظام|SystemInitial|1
4502|تقارير بيانات التسويات|TswReportMenu|1
4503|تقارير إحصائية لبيانات التسويات|TswReportMenu|1
4201|تعديـل وحذف بيانات تسويات التراكم|UpdateTaswiatMenu|1
4202|تعديـل وحذف بيانات تسويات خطأ القراءة|UpdateTaswiatMenu|1
4203|تعديـل وحذف بيانات تسويات خطأ نوع النشاط|UpdateTaswiatMenu|1
4204|تعديل وحذف بيانات تسويات رسوم الإشتراك|UpdateTaswiatMenu|1
4205|تعديل وحذف بيانات تسويات عكس التسديد المحلي|UpdateTaswiatMenu|1
4206|تعديـل وحذف بيانات إستمارات تعديل البيانات حسب الرمز|UpdateTaswiatMenu|1
4207|تعديل وحذف بيانات تسويات ضـم مبلغ مالي|UpdateTaswiatMenu|1
4208|تعديل وحذف بيانات تسويات (الخصم) عكس قيد مالي|UpdateTaswiatMenu|1
1501|تقارير بيانات أحداث و عمليات المستخدمين|UserEventReportMenu|1
3002|معالجة بيانات المستخدمين|UserMenu|1
3003|تعيين حدود عمل المستخدمين|UserMenu|1
